chi_name,wind_name
博济医药,300404.SZ
博迈科,603727.SH
博敏电子,603936.SH
东方国信,300166.SZ
博信股份,600083.SH
邦讯技术,300312.SZ
博实股份,002698.SZ
博思软件,300525.SZ
博深工具,002282.SZ
宝通科技,300031.SZ
碧水源,300070.SZ
博雅生物,300294.SZ
博云新材,002297.SZ
蓝光发展,600466.SH
百润股份,002568.SZ
光明乳业,600597.SH
新晨科技,300542.SZ
远大智能,002689.SZ
荣科科技,300290.SZ
博创科技,300548.SZ
百隆东方,601339.SH
兄弟科技,002562.SZ
九强生物,300406.SZ
鲍斯股份,300441.SZ
首钢股份,000959.SZ
博世科,300422.SZ
本钢板材,000761.SZ
包钢股份,600010.SH
天坛生物,600161.SH
首旅酒店,600258.SH
号百控股,600640.SH
伯特利,603596.SH
ST明科,600091.SH
步长制药,603858.SH
北京城建,600266.SH
建研集团,002398.SZ
北京城乡,600861.SH
步森股份,002569.SZ
*ST巴士,002188.SZ
博通股份,600455.SH
宝光股份,600379.SH
汤臣倍健,300146.SZ
百邦科技,300736.SZ
比亚迪,002594.SZ
白云电器,603861.SH
八一钢铁,600581.SH
博彦科技,002649.SZ
嘉事堂,002462.SZ
中国汽研,601965.SH
凤形股份,002760.SZ
中牧股份,600195.SH
常熟汽饰,603035.SH
财通证券,601108.SH
嘉凯城,000918.SZ
中工国际,002051.SZ
骆驼股份,601311.SH
迦南科技,300412.SZ
佳力图,603912.SH
开能健康,300272.SZ
沧州明珠,002108.SZ
凯伦股份,300715.SZ
新宙邦,300037.SZ
科锐国际,300662.SZ
凯众股份,603037.SH
中航三鑫,002163.SZ
恒银金融,603106.SH
财信发展,000838.SZ
中科信息,300678.SZ
福晶科技,002222.SZ
凯莱英,002821.SZ
航天电子,600879.SH
宁德时代,300750.SZ
国农科技,000004.SZ
重庆啤酒,600132.SH
深中华A,000017.SZ
重庆百货,600729.SH
中国宝安,000009.SZ
长白山,603099.SH
诚邦股份,603316.SH
建设银行,601939.SH
中国交建,601800.SH
中天能源,600856.SH
欧亚集团,600697.SH
重庆建工,600939.SH
长春高新,000661.SZ
长春经开,600215.SH
中原传媒,000719.SZ
供销大集,000564.SZ
长春燃气,600333.SH
瑞茂通,600180.SH
中原证券,601375.SH
三环集团,300408.SZ
长春一东,600148.SH
长城影视,002071.SZ
彩虹股份,600707.SH
建发股份,600153.SH
智动力,300686.SZ
成都路桥,002628.SZ
中兴商业,000715.SZ
中潜股份,300526.SZ
旭光股份,600353.SH
东方航空,600115.SH
光大银行,601818.SH
中国海防,600764.SH
